userName,content,score,at,label_num,label,text_Clean,text_Normalization,text_StopWord,text_Tokenization,text_Stemmindo,text_String
Pengguna Google,"aduhhh ini apk nya ko gini si skrg, mau login susah dan ribet bgt pas verivikasi juga tb"" nomernya beda hilang 1 angka ini gmn ya? makin kesini makin gjls pdhl dulu make enak"" aja lohhh tpi skrng gjls bgt",1,2025-05-13 07:29:01,-1,negative,aduhhh ini apk nya ko gini si skrg mau login susah dan ribet bgt pas verivikasi juga tb nomernya beda hilang 1 angka ini gmn ya makin kesini makin gjls pdhl dulu make enak aja lohhh tpi skrng gjls bgt,aduh ini apk ya kok begini sih sekarang mau login susah dan ribet banget pas verivikasi juga tb nomernya beda hilang 1 angka ini bagaimana ya makin kesini makin gjls padahal dulu memakai enak saja loh tapi sekarang gjls banget,aduh apk ya sih login susah ribet banget pas verivikasi tb nomernya beda hilang 1 angka ya kesini gjls memakai enak loh gjls banget,"['aduh', 'apk', 'ya', 'sih', 'login', 'susah', 'ribet', 'banget', 'pas', 'verivikasi', 'tb', 'nomernya', 'beda', 'hilang', '1', 'angka', 'ya', 'kesini', 'gjls', 'memakai', 'enak', 'loh', 'gjls', 'banget']","['aduh', 'apk', 'ya', 'sih', 'login', 'susah', 'ribet', 'banget', 'pas', 'verivikasi', 'tb', 'nomernya', 'beda', 'hilang', '1', 'angka', 'ya', 'kesini', 'gjls', 'pakai', 'enak', 'loh', 'gjls', 'banget']",aduh login susah ribet banget verivikasi nomernya beda hilang angka kesini gjls pakai enak gjls banget
Pengguna Google,"gara² apk ini,nm emak gw ketauan jir",1,2025-05-13 07:09:20,-1,negative,gara² apk ini nm emak gw ketauan jir,gara² apk ini nama emak gue ketahuan jir,gara² apk nama emak gue ketahuan jir,"['gara²', 'apk', 'nama', 'emak', 'gue', 'ketahuan', 'jir']","['gara', 'apk', 'nama', 'emak', 'gue', 'tahu', 'jir']",gara nama emak tahu
Pengguna Google,dikit bgt nama yang bisa diliat,1,2025-05-13 06:40:03,-1,negative,dikit bgt nama yang bisa diliat,dikit banget nama yang bisa dilihat,dikit banget nama,"['dikit', 'banget', 'nama']","['dikit', 'banget', 'nama']",dikit banget nama
Pengguna Google,👍,3,2025-05-13 05:41:55,0,neutral,,,,[],[],
Pengguna Google,kenapa sekarang berbayar? kemarin kan free...kecewa berat aku tuh...,1,2025-05-13 05:27:32,-1,negative,kenapa sekarang berbayar kemarin kan free kecewa berat aku tuh,kenapa sekarang berbayar kemarin kan free kecewa berat aku tuh,berbayar kemarin free kecewa berat tuh,"['berbayar', 'kemarin', 'free', 'kecewa', 'berat', 'tuh']","['bayar', 'kemarin', 'free', 'kecewa', 'berat', 'tuh']",bayar kemarin free kecewa berat
Pengguna Google,mantap,5,2025-05-13 05:25:39,1,positive,mantap,mantap,mantap,['mantap'],['mantap'],mantap
Pengguna Google,harus berbayar kalo mau liat tag,3,2025-05-13 05:24:00,0,neutral,harus berbayar kalo mau liat tag,harus berbayar kalau mau lihat tag,berbayar lihat tag,"['berbayar', 'lihat', 'tag']","['bayar', 'lihat', 'tag']",bayar lihat
Pengguna Google,cara buat berhenti berlangganan gimana si ? udah uninstall apk kena potongan di dana tolong bgt caranya gimana buat berhenti langganan,4,2025-05-13 05:15:30,1,positive,cara buat berhenti berlangganan gimana si udah uninstall apk kena potongan di dana tolong bgt caranya gimana buat berhenti langganan,cara buat berhenti berlangganan bagaimana sih sudah uninstall apk kena potongan di dana tolong banget caranya bagaimana buat berhenti langganan,berhenti berlangganan sih uninstall apk kena potongan dana tolong banget berhenti langganan,"['berhenti', 'berlangganan', 'sih', 'uninstall', 'apk', 'kena', 'potongan', 'dana', 'tolong', 'banget', 'berhenti', 'langganan']","['henti', 'langgan', 'sih', 'uninstall', 'apk', 'kena', 'potong', 'dana', 'tolong', 'banget', 'henti', 'langgan']",henti langgan uninstall kena potong dana tolong banget henti langgan
Pengguna Google,baik,4,2025-05-13 05:11:03,1,positive,baik,baik,,[],[],
Pengguna Google,ok,5,2025-05-13 05:05:55,1,positive,ok,ok,ok,['ok'],['ok'],
Pengguna Google,mantap,5,2025-05-13 04:57:40,1,positive,mantap,mantap,mantap,['mantap'],['mantap'],mantap
Pengguna Google,bagus,5,2025-05-13 04:55:01,1,positive,bagus,bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,semoga kedepannya semakin baik dan ada fitur-fitur gratis nya,5,2025-05-13 04:49:51,1,positive,semoga kedepannya semakin baik dan ada fitur fitur gratis nya,semoga kedepannya semakin baik dan ada fitur fitur gratis ya,semoga kedepannya fitur fitur gratis ya,"['semoga', 'kedepannya', 'fitur', 'fitur', 'gratis', 'ya']","['moga', 'depan', 'fitur', 'fitur', 'gratis', 'ya']",moga depan fitur fitur gratis
Pengguna Google,bagus,5,2025-05-13 04:39:14,1,positive,bagus,bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,apa lah harus premium dulu malas,1,2025-05-13 04:16:11,-1,negative,apa lah harus premium dulu malas,apa lah harus premium dulu malas,premium malas,"['premium', 'malas']","['premium', 'malas']",premium malas
Pengguna Google,tukang spam pada ngeprivasi tag mereka curang banget.. plislah jangan tambahkan fitur privasi. males banget,1,2025-05-13 04:09:58,-1,negative,tukang spam pada ngeprivasi tag mereka curang banget plislah jangan tambahkan fitur privasi males banget,tukang spam pada ngeprivasi tag mereka curang banget plislah jangan tambahkan fitur privasi malas banget,tukang spam ngeprivasi tag curang banget plislah tambahkan fitur privasi malas banget,"['tukang', 'spam', 'ngeprivasi', 'tag', 'curang', 'banget', 'plislah', 'tambahkan', 'fitur', 'privasi', 'malas', 'banget']","['tukang', 'spam', 'ngeprivasi', 'tag', 'curang', 'banget', 'plislah', 'tambah', 'fitur', 'privasi', 'malas', 'banget']",tukang spam ngeprivasi curang banget plislah tambah fitur privasi malas banget
Pengguna Google,tidak bisa pembayaran pulsa ke 2 kalinya,1,2025-05-13 04:07:56,-1,negative,tidak bisa pembayaran pulsa ke 2 kalinya,tidak bisa pembayaran pulsa ke 2 kalinya,pembayaran pulsa 2 kalinya,"['pembayaran', 'pulsa', '2', 'kalinya']","['bayar', 'pulsa', '2', 'kali']",bayar pulsa kali
Pengguna Google,kenapa ini harus banget pakai getcontact yang premium sih kalau mau liat orang namain kontak kita,2,2025-05-13 04:05:59,-1,negative,kenapa ini harus banget pakai getcontact yang premium sih kalau mau liat orang namain kontak kita,kenapa ini harus banget pakai getcontact yang premium sih kalau mau lihat orang namai kontak kita,banget pakai getcontact premium sih lihat orang namai kontak,"['banget', 'pakai', 'getcontact', 'premium', 'sih', 'lihat', 'orang', 'namai', 'kontak']","['banget', 'pakai', 'getcontact', 'premium', 'sih', 'lihat', 'orang', 'nama', 'kontak']",banget pakai getcontact premium lihat orang nama kontak
Pengguna Google,Untuk pemakaian pertama harus free seharusnya,4,2025-05-13 04:00:49,1,positive,untuk pemakaian pertama harus free seharusnya,untuk pemakaian pertama harus free seharusnya,pemakaian free,"['pemakaian', 'free']","['pakai', 'free']",pakai free
Pengguna Google,"maaf saya unistal kembali,nomer ga bisa2 untuk login..",1,2025-05-13 03:31:17,-1,negative,maaf saya unistal kembali nomer ga bisa2 untuk login,maaf saya unistal kembali nomer tidak bisa2 untuk login,maaf unistal nomer bisa2 login,"['maaf', 'unistal', 'nomer', 'bisa2', 'login']","['maaf', 'unistal', 'nomer', 'bisa2', 'login']",maaf unistal nomer bisa2 login
Pengguna Google,luarbiasa,5,2025-05-13 03:22:34,1,positive,luarbiasa,luarbiasa,luarbiasa,['luarbiasa'],['luarbiasa'],luarbiasa
Pengguna Google,oke,5,2025-05-13 03:17:58,1,positive,oke,oke,oke,['oke'],['oke'],
Pengguna Google,terima kasih sudah menciptakan get contac.. tolong tetap lindungi dan amani.,5,2025-05-13 02:46:36,1,positive,terima kasih sudah menciptakan get contac tolong tetap lindungi dan amani,terima kasih sudah menciptakan get contac tolong tetap lindungi dan amani,terima kasih menciptakan get contac tolong lindungi amani,"['terima', 'kasih', 'menciptakan', 'get', 'contac', 'tolong', 'lindungi', 'amani']","['terima', 'kasih', 'cipta', 'get', 'contac', 'tolong', 'lindung', 'aman']",terima kasih cipta contac tolong lindung aman
Pengguna Google,aplikasi yang sangat bagus,5,2025-05-13 02:34:46,1,positive,aplikasi yang sangat bagus,aplikasi yang sangat bagus,aplikasi bagus,"['aplikasi', 'bagus']","['aplikasi', 'bagus']",aplikasi bagus
Pengguna Google,berbayar,1,2025-05-13 01:37:57,-1,negative,berbayar,berbayar,berbayar,['berbayar'],['bayar'],bayar
Pengguna Google,Gagal selalu verifikasi krn nomor berubah... No 3 saat verifikasi nomor hilang 1 digit,1,2025-05-13 01:12:27,-1,negative,gagal selalu verifikasi krn nomor berubah no 3 saat verifikasi nomor hilang 1 digit,gagal selalu verifikasi karena nomor berubah no 3 saat verifikasi nomor hilang 1 digit,gagal verifikasi nomor berubah no 3 verifikasi nomor hilang 1 digit,"['gagal', 'verifikasi', 'nomor', 'berubah', 'no', '3', 'verifikasi', 'nomor', 'hilang', '1', 'digit']","['gagal', 'verifikasi', 'nomor', 'ubah', 'no', '3', 'verifikasi', 'nomor', 'hilang', '1', 'digit']",gagal verifikasi nomor ubah verifikasi nomor hilang digit
Pengguna Google,aplikasi tolol nga bisa di download gblg,1,2025-05-13 00:54:24,-1,negative,aplikasi tolol nga bisa di download gblg,aplikasi tolol tidak bisa di download gblg,aplikasi tolol download gblg,"['aplikasi', 'tolol', 'download', 'gblg']","['aplikasi', 'tolol', 'download', 'gblg']",aplikasi tolol download gblg
Pengguna Google,kenapa terdeteksi virus,1,2025-05-13 00:52:37,-1,negative,kenapa terdeteksi virus,kenapa terdeteksi virus,terdeteksi virus,"['terdeteksi', 'virus']","['deteksi', 'virus']",deteksi virus
Pengguna Google,pliss dngg get contact jngn kebnykan premium dlu ga se bnyk ini deh kta bth get contact skrg udh bnyk premium jdi mls buat install tlong ya premium ny d dikit'in ksian org² yg gpnya biyaya untk byr dn mereka mau mencoba aplikasi ini mlh gbsa krna ad premium,4,2025-05-13 00:48:15,1,positive,pliss dngg get contact jngn kebnykan premium dlu ga se bnyk ini deh kta bth get contact skrg udh bnyk premium jdi mls buat install tlong ya premium ny d dikit ksian org² yg gpnya biyaya untk byr dn mereka mau mencoba aplikasi ini mlh gbsa krna ad premium,pliss dngg get contact jangan kebnykan premium dulu tidak se banyak ini deh kita bth get contact sekarang sudah banyak premium jadi mls buat install tlong ya premium nya di dikit ksian org² yang gpnya biyaya untuk byr dan mereka mau mencoba aplikasi ini malah gbsa karena ada premium,pliss dngg get contact kebnykan premium deh bth get contact premium mls install tlong ya premium nya dikit ksian org² gpnya biyaya byr mencoba aplikasi gbsa premium,"['pliss', 'dngg', 'get', 'contact', 'kebnykan', 'premium', 'deh', 'bth', 'get', 'contact', 'premium', 'mls', 'install', 'tlong', 'ya', 'premium', 'nya', 'dikit', 'ksian', 'org²', 'gpnya', 'biyaya', 'byr', 'mencoba', 'aplikasi', 'gbsa', 'premium']","['pliss', 'dngg', 'get', 'contact', 'kebnykan', 'premium', 'deh', 'bth', 'get', 'contact', 'premium', 'mls', 'install', 'tlong', 'ya', 'premium', 'nya', 'dikit', 'ksi', 'org', 'gpnya', 'biyaya', 'byr', 'coba', 'aplikasi', 'gbsa', 'premium']",pliss dngg contact kebnykan premium contact premium install tlong premium dikit gpnya biyaya coba aplikasi gbsa premium
Pengguna Google,bagus dapat melihat siapa yang namain kita,5,2025-05-13 00:34:31,1,positive,bagus dapat melihat siapa yang namain kita,bagus dapat melihat siapa yang namai kita,bagus namai,"['bagus', 'namai']","['bagus', 'nama']",bagus nama
Pengguna Google,kami merasa puas adanya aplikasi ini getcontact ini menyelamatkan kami dari penipu,5,2025-05-13 00:33:30,1,positive,kami merasa puas adanya aplikasi ini getcontact ini menyelamatkan kami dari penipu,kami merasa puas adanya aplikasi ini getcontact ini menyelamatkan kami dari penipu,puas aplikasi getcontact menyelamatkan penipu,"['puas', 'aplikasi', 'getcontact', 'menyelamatkan', 'penipu']","['puas', 'aplikasi', 'getcontact', 'selamat', 'tipu']",puas aplikasi getcontact selamat tipu
Pengguna Google,min kasih fitur iklan aja sih buat yang gratis daripada harus langganan kan?:/ mungkin fitur iklan bisa dipertimbangkan?.,5,2025-05-13 00:25:32,1,positive,min kasih fitur iklan aja sih buat yang gratis daripada harus langganan kan mungkin fitur iklan bisa dipertimbangkan,min kasih fitur iklan saja sih buat yang gratis daripada harus langganan kan mungkin fitur iklan bisa dipertimbangkan,min kasih fitur iklan sih gratis langganan fitur iklan dipertimbangkan,"['min', 'kasih', 'fitur', 'iklan', 'sih', 'gratis', 'langganan', 'fitur', 'iklan', 'dipertimbangkan']","['min', 'kasih', 'fitur', 'iklan', 'sih', 'gratis', 'langgan', 'fitur', 'iklan', 'timbang']",kasih fitur iklan gratis langgan fitur iklan timbang
Pengguna Google,seru,5,2025-05-12 23:55:57,1,positive,seru,seru,seru,['seru'],['seru'],seru
Pengguna Google,membantu,5,2025-05-12 21:28:23,1,positive,membantu,membantu,membantu,['membantu'],['bantu'],bantu
Pengguna Google,bagus,5,2025-05-12 19:53:41,1,positive,bagus,bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,burk gabisa jelek najissss,1,2025-05-12 18:22:01,-1,negative,burk gabisa jelek najissss,burk tidak bisa jelek najissss,burk jelek najissss,"['burk', 'jelek', 'najissss']","['burk', 'jelek', 'najissss']",burk jelek najissss
Pengguna Google,"percobaan pertama langsung premium. uninstall, lebih baik,🤭",2,2025-05-12 17:12:28,-1,negative,percobaan pertama langsung premium uninstall lebih baik,percobaan pertama langsung premium uninstall lebih baik,percobaan langsung premium uninstall,"['percobaan', 'langsung', 'premium', 'uninstall']","['coba', 'langsung', 'premium', 'uninstall']",coba langsung premium uninstall
Pengguna Google,gembel harus premium aja,1,2025-05-12 17:09:45,-1,negative,gembel harus premium aja,gembel harus premium saja,gembel premium,"['gembel', 'premium']","['gembel', 'premium']",gembel premium
Pengguna Google,membantu,5,2025-05-12 16:49:58,1,positive,membantu,membantu,membantu,['membantu'],['bantu'],bantu
Pengguna Google,GK bisa liat # orang nya,1,2025-05-12 16:12:43,-1,negative,gk bisa liat orang nya,tidak bisa lihat orang ya,lihat orang ya,"['lihat', 'orang', 'ya']","['lihat', 'orang', 'ya']",lihat orang
Pengguna Google,bagus bgt apk nya,5,2025-05-12 16:10:45,1,positive,bagus bgt apk nya,bagus banget apk ya,bagus banget apk ya,"['bagus', 'banget', 'apk', 'ya']","['bagus', 'banget', 'apk', 'ya']",bagus banget
Pengguna Google,kasi gratis ke gw suda gw kasi bintang 5,5,2025-05-12 16:07:56,1,positive,kasi gratis ke gw suda gw kasi bintang 5,kasih gratis ke gue sudah gue kasih bintang 5,kasih gratis gue gue kasih bintang 5,"['kasih', 'gratis', 'gue', 'gue', 'kasih', 'bintang', '5']","['kasih', 'gratis', 'gue', 'gue', 'kasih', 'bintang', '5']",kasih gratis kasih bintang
Pengguna Google,sedih banget Getcontact udah premium jadi harus bayar dulu baru bisa liat tag nya padahal dulu tidak bayar.. 😞💔,1,2025-05-12 16:01:57,-1,negative,sedih banget getcontact udah premium jadi harus bayar dulu baru bisa liat tag nya padahal dulu tidak bayar,sedih banget getcontact sudah premium jadi harus bayar dulu baru bisa lihat tag ya padahal dulu tidak bayar,sedih banget getcontact premium bayar lihat tag ya bayar,"['sedih', 'banget', 'getcontact', 'premium', 'bayar', 'lihat', 'tag', 'ya', 'bayar']","['sedih', 'banget', 'getcontact', 'premium', 'bayar', 'lihat', 'tag', 'ya', 'bayar']",sedih banget getcontact premium bayar lihat bayar
Pengguna Google,berlangganan nya terlalu mahal,1,2025-05-12 15:49:22,-1,negative,berlangganan nya terlalu mahal,berlangganan ya terlalu mahal,berlangganan ya mahal,"['berlangganan', 'ya', 'mahal']","['langgan', 'ya', 'mahal']",langgan mahal
Pengguna Google,bagus,5,2025-05-12 15:48:03,1,positive,bagus,bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,harus di daftar pake email jadi agak susah,1,2025-05-12 15:45:54,-1,negative,harus di daftar pake email jadi agak susah,harus di daftar pakai email jadi agak susah,daftar pakai email susah,"['daftar', 'pakai', 'email', 'susah']","['daftar', 'pakai', 'email', 'susah']",daftar pakai email susah
Pengguna Google,sangat bagus,2,2025-05-12 15:35:52,-1,negative,sangat bagus,sangat bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,iya deh,5,2025-05-12 15:34:57,1,positive,iya deh,iya deh,iya deh,"['iya', 'deh']","['iya', 'deh']",
Pengguna Google,bagus,5,2025-05-12 15:21:13,1,positive,bagus,bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,sangat membantu,5,2025-05-12 15:15:21,1,positive,sangat membantu,sangat membantu,membantu,['membantu'],['bantu'],bantu
Pengguna Google,ok,5,2025-05-12 15:12:32,1,positive,ok,ok,ok,['ok'],['ok'],
Pengguna Google,aplikasi gaycontactnya sangat ketat dan terpercaya keamanannya setiap ada nomor orang asing pasti terdeteksi,5,2025-05-12 15:11:18,1,positive,aplikasi gaycontactnya sangat ketat dan terpercaya keamanannya setiap ada nomor orang asing pasti terdeteksi,aplikasi gaycontactnya sangat ketat dan terpercaya keamanannya setiap ada nomor orang asing pasti terdeteksi,aplikasi gaycontactnya ketat terpercaya keamanannya nomor orang asing terdeteksi,"['aplikasi', 'gaycontactnya', 'ketat', 'terpercaya', 'keamanannya', 'nomor', 'orang', 'asing', 'terdeteksi']","['aplikasi', 'gaycontactnya', 'ketat', 'percaya', 'aman', 'nomor', 'orang', 'asing', 'deteksi']",aplikasi gaycontactnya ketat percaya aman nomor orang asing deteksi
Pengguna Google,Kenapa jadi premium??,1,2025-05-12 15:08:41,-1,negative,kenapa jadi premium,kenapa jadi premium,premium,['premium'],['premium'],premium
Pengguna Google,bagus banget dan berguna karma tidak gampang tertipu lagi,5,2025-05-12 15:06:28,1,positive,bagus banget dan berguna karma tidak gampang tertipu lagi,bagus banget dan berguna karma tidak gampang tertipu lagi,bagus banget berguna karma gampang tertipu,"['bagus', 'banget', 'berguna', 'karma', 'gampang', 'tertipu']","['bagus', 'banget', 'guna', 'karma', 'gampang', 'tipu']",bagus banget guna karma gampang tipu
Pengguna Google,bagus,5,2025-05-12 14:59:42,1,positive,bagus,bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,"apk nya skrng dikit""premium. skrng jga gabisa liat orang yg namain kontak kita harus premium dlu. ga bngt apk nya ga kaya dlu",1,2025-05-12 14:53:40,-1,negative,apk nya skrng dikit premium skrng jga gabisa liat orang yg namain kontak kita harus premium dlu ga bngt apk nya ga kaya dlu,apk ya sekarang dikit premium sekarang juga tidak bisa lihat orang yang namai kontak kita harus premium dulu tidak banget apk ya tidak kayak dulu,apk ya dikit premium lihat orang namai kontak premium banget apk ya kayak,"['apk', 'ya', 'dikit', 'premium', 'lihat', 'orang', 'namai', 'kontak', 'premium', 'banget', 'apk', 'ya', 'kayak']","['apk', 'ya', 'dikit', 'premium', 'lihat', 'orang', 'nama', 'kontak', 'premium', 'banget', 'apk', 'ya', 'kayak']",dikit premium lihat orang nama kontak premium banget kayak
Pengguna Google,jelek,1,2025-05-12 14:34:58,-1,negative,jelek,jelek,jelek,['jelek'],['jelek'],jelek
Pengguna Google,susah login.. payahhhh,1,2025-05-12 14:31:16,-1,negative,susah login payahhhh,susah login payahhhh,susah login payahhhh,"['susah', 'login', 'payahhhh']","['susah', 'login', 'payahhhh']",susah login payahhhh
Pengguna Google,"jelek,nge bug",1,2025-05-12 13:51:09,-1,negative,jelek nge bug,jelek nge bug,jelek nge bug,"['jelek', 'nge', 'bug']","['jelek', 'nge', 'bug']",jelek
Pengguna Google,tidak seperti dulu,1,2025-05-12 13:51:03,-1,negative,tidak seperti dulu,tidak seperti dulu,,[],[],
Pengguna Google,terlalu byk syarat,3,2025-05-12 13:39:53,0,neutral,terlalu byk syarat,terlalu banyak syarat,syarat,['syarat'],['syarat'],syarat
Pengguna Google,aplikasi ga jelas,1,2025-05-12 13:08:37,-1,negative,aplikasi ga jelas,aplikasi tidak jelas,aplikasi,['aplikasi'],['aplikasi'],aplikasi
Pengguna Google,males ah harus premium,2,2025-05-12 13:07:11,-1,negative,males ah harus premium,malas ah harus premium,malas ah premium,"['malas', 'ah', 'premium']","['malas', 'ah', 'premium']",malas premium
Pengguna Google,harus premium dulu,1,2025-05-12 12:35:58,-1,negative,harus premium dulu,harus premium dulu,premium,['premium'],['premium'],premium
Pengguna Google,bagus bgt,5,2025-05-12 12:30:20,1,positive,bagus bgt,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget
Pengguna Google,aplikasi scam di iklanya bisa liat nama kontak kita di hp orang lain. ini malah cuman 3 tagarnya yg ada. cuihhh,1,2025-05-12 12:27:13,-1,negative,aplikasi scam di iklanya bisa liat nama kontak kita di hp orang lain ini malah cuman 3 tagarnya yg ada cuihhh,aplikasi scam di iklanya bisa lihat nama kontak kita di hp orang lain ini malah cuman 3 tagarnya yang ada cuihhh,aplikasi scam iklanya lihat nama kontak hp orang cuman 3 tagarnya cuihhh,"['aplikasi', 'scam', 'iklanya', 'lihat', 'nama', 'kontak', 'hp', 'orang', 'cuman', '3', 'tagarnya', 'cuihhh']","['aplikasi', 'scam', 'iklanya', 'lihat', 'nama', 'kontak', 'hp', 'orang', 'cuman', '3', 'tagar', 'cuihhh']",aplikasi scam iklanya lihat nama kontak orang cuman tagar cuihhh
Pengguna Google,kenapaa haruus ada fitur premium,1,2025-05-12 11:50:25,-1,negative,kenapaa haruus ada fitur premium,kenapa haruus ada fitur premium,haruus fitur premium,"['haruus', 'fitur', 'premium']","['haruus', 'fitur', 'premium']",haruus fitur premium
